open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
190.2600,190.2600,190.2600,190.2600,770,190.2900,190.5900,190.0500,190.3000,6587,190.5000,190.5200,190.3800,190.3800,2840,190.3900,190.4300,190.3800,190.4300,1293,190.2800,190.4100,190.2500,190.4100,2595,190.3100,190.5200,190.2800,190.3000,3699,190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,190.2600
190.2900,190.5900,190.0500,190.3000,6587,190.5000,190.5200,190.3800,190.3800,2840,190.3900,190.4300,190.3800,190.4300,1293,190.2800,190.4100,190.2500,190.4100,2595,190.3100,190.5200,190.2800,190.3000,3699,190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,190.2600
190.5000,190.5200,190.3800,190.3800,2840,190.3900,190.4300,190.3800,190.4300,1293,190.2800,190.4100,190.2500,190.4100,2595,190.3100,190.5200,190.2800,190.3000,3699,190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,190.2900
190.3900,190.4300,190.3800,190.4300,1293,190.2800,190.4100,190.2500,190.4100,2595,190.3100,190.5200,190.2800,190.3000,3699,190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,190.5000
190.2800,190.4100,190.2500,190.4100,2595,190.3100,190.5200,190.2800,190.3000,3699,190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,190.3900
190.3100,190.5200,190.2800,190.3000,3699,190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,190.2800
190.8950,190.9700,190.5000,190.5000,1765,191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,190.3100
191.0300,191.1000,190.9600,190.9600,1626,191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,190.8950
191.0200,191.0200,190.8900,190.8900,1636,191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.0300
191.0900,191.0900,191.0200,191.0200,952,191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.0200
191.1800,191.4000,191.1500,191.2150,2178,191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.0900
191.3650,191.5132,191.3300,191.3500,1678,191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1800
191.0400,191.3400,191.0400,191.3400,1239,191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,191.3650
191.2250,191.2500,191.0700,191.0700,1347,191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,191.0400
191.3300,191.3300,191.2600,191.2600,1144,191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.2250
191.2588,191.3800,191.2588,191.3200,1225,191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.3300
191.3000,191.3700,191.2975,191.2975,476,191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.2588
191.2750,191.2750,191.2750,191.2750,354,191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.3000
191.5900,191.8000,191.4100,191.4100,2137,191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.2750
191.4600,191.6350,191.4600,191.6350,1095,191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.5900
191.1800,191.4600,191.1300,191.4600,1322,191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.4600
191.1200,191.2400,191.1200,191.1500,1322,190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.1800
190.8900,190.8900,190.8900,190.8900,440,190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.1200
190.6400,190.7300,190.6400,190.7300,447,191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,190.8900
191.5700,191.5700,191.2300,191.2300,1410,191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,190.6400
191.8500,191.9900,191.6850,191.6850,1210,191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.5700
191.9000,191.9800,191.8100,191.9800,1134,191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.8500
191.7700,191.9700,191.7700,191.9700,259,191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.9000
191.6600,191.7600,191.6600,191.7400,428,191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.7700
191.7400,191.8700,191.7400,191.8700,909,191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.6600
191.7300,191.7300,191.7300,191.7300,302,191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.7400
191.5450,191.5450,191.5450,191.5450,790,191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.7300
191.8100,191.8100,191.4000,191.4000,776,191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.5450
191.9300,191.9300,191.9300,191.9300,951,191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.1800,191.2000,191.1800,191.2000,684,191.8100
191.8000,191.8000,191.8000,191.8000,242,191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.1800,191.2000,191.1800,191.2000,684,191.2200,191.2200,191.2200,191.2200,265,191.9300
191.7700,191.7700,191.7700,191.7700,158,191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.1800,191.2000,191.1800,191.2000,684,191.2200,191.2200,191.2200,191.2200,265,191.4800,191.4800,191.2400,191.2400,1760,191.8000
191.6800,191.7800,191.5300,191.7800,1133,191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.1800,191.2000,191.1800,191.2000,684,191.2200,191.2200,191.2200,191.2200,265,191.4800,191.4800,191.2400,191.2400,1760,191.2300,191.2300,191.2300,191.2300,334,191.7700
191.6600,191.6600,191.6600,191.6600,516,191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.1800,191.2000,191.1800,191.2000,684,191.2200,191.2200,191.2200,191.2200,265,191.4800,191.4800,191.2400,191.2400,1760,191.2300,191.2300,191.2300,191.2300,334,191.2400,191.2400,191.2400,191.2400,315,191.6800
191.3100,191.5400,191.2900,191.5400,1409,191.0800,191.4200,191.0800,191.1700,704,191.0777,191.0777,191.0777,191.0777,137,191.1200,191.1200,191.1200,191.1200,360,191.1800,191.2000,191.1800,191.2000,684,191.2200,191.2200,191.2200,191.2200,265,191.4800,191.4800,191.2400,191.2400,1760,191.2300,191.2300,191.2300,191.2300,334,191.2400,191.2400,191.2400,191.2400,315,191.4100,191.4550,191.3300,191.3700,1149,191.6600
